u-g,g-r,r-i,i-z,u-z,g-z,redshift_log,class
0.9531600000000005,0.3617600000000003,0.2566600000000001,0.1141799999999975,1.6857599999999984,0.7325999999999979,-1.2034240711418491,GALAXY
1.6192600000000006,1.0012499999999989,0.5318700000000014,0.41751999999999967,3.5699000000000005,1.95064,-0.9591675210662676,GALAXY
1.8560700000000026,0.907729999999999,0.43567,0.3046799999999994,3.504150000000001,1.6480799999999984,-1.1983309917170217,GALAXY
1.6576500000000003,0.8473599999999983,0.4574800000000021,0.3516099999999991,3.3141,1.6564499999999995,-1.1901746726476596,GALAXY
-2.566360000000003,4.067160000000001,-2.531600000000001,5.547590000000003,4.51679,7.083150000000003,-0.9824324730792541,GALAXY
2.175419999999999,1.0621200000000002,0.4978699999999989,0.3862500000000004,4.1216599999999985,1.9462399999999995,-1.2075638326187588,GALAXY
1.478080000000002,0.8411299999999997,0.44987000000000066,0.32026999999999717,3.0893499999999996,1.6112699999999975,-1.0078515854843642,GALAXY
1.6412200000000006,0.7797300000000007,0.3620699999999992,0.3070000000000004,3.090020000000001,1.4488000000000003,-1.6961292578362335,GALAXY
1.5953800000000022,0.8139699999999976,0.46768000000000143,0.29284,3.1698700000000013,1.574489999999999,-1.205200739167808,GALAXY
2.825569999999999,1.5830599999999997,0.6377999999999986,0.42530999999999963,5.471739999999997,2.646169999999998,-0.658554593464114,GALAXY
2.0467499999999994,1.4112200000000001,0.5767299999999977,0.3889200000000024,4.42362,2.3768700000000003,-0.6758243819352487,GALAXY
2.3920899999999996,1.236509999999999,0.5034700000000019,0.4185199999999991,4.55059,2.1585,-0.8442028833808417,GALAXY
0.7232699999999994,0.2509900000000016,0.1610900000000015,0.25301999999999936,1.3883700000000019,0.6651000000000025,-0.06505243776229978,QSO
1.5270399999999995,1.999839999999999,0.724140000000002,0.41289000000000087,4.663910000000001,3.136870000000002,-0.474721514662028,GALAXY
2.552780000000002,1.8070999999999984,0.7976600000000005,0.47593000000000174,5.633470000000003,3.0806900000000006,-0.3523853701441504,GALAXY
2.2417099999999976,1.3510500000000008,0.5394299999999994,0.37383000000000166,4.5060199999999995,2.264310000000002,-0.7901296527847967,GALAXY
1.3971000000000018,0.6204800000000006,0.34976999999999947,0.14640999999999948,2.5137600000000013,1.1166599999999995,-1.5655195605424534,GALAXY
2.9818,1.7752800000000022,0.6371799999999972,0.4037700000000015,5.798030000000001,2.816230000000001,-0.5236677059635934,GALAXY
2.5053899999999985,1.2098300000000002,0.556280000000001,0.46218000000000004,4.73368,2.228290000000001,-0.9087548820947093,GALAXY
2.34291,1.3063400000000023,0.5386699999999998,0.3806100000000008,4.568530000000003,2.225620000000003,-0.7860704561833783,GALAXY
2.5224600000000024,1.249839999999999,0.5430099999999989,0.404320000000002,4.719630000000002,2.19717,-0.811634355398046,GALAXY
1.878709999999998,0.876570000000001,0.45612999999999815,0.3153000000000006,3.526709999999998,1.6479999999999997,-1.2048957343849689,GALAXY
1.3848699999999994,0.5812299999999979,0.37726000000000326,0.26423999999999737,2.607599999999998,1.2227299999999985,-1.155683213532272,GALAXY
2.3567199999999993,1.155549999999998,0.5732800000000005,0.4437300000000004,4.529279999999998,2.172559999999999,-1.0957640117582954,GALAXY
1.7377199999999995,0.6257800000000024,0.48648999999999987,0.054469999999998464,2.9044600000000003,1.1667400000000008,-1.1530042744993207,GALAXY
1.7771100000000004,0.8573899999999988,0.4805899999999994,0.37664000000000186,3.4917300000000004,1.71462,-1.2008817559109384,GALAXY
1.3247300000000024,4.256229999999999,-4.619250000000001,1.6709800000000001,2.63269,1.3079599999999978,-0.43155725070170425,GALAXY
2.2154300000000013,1.4240899999999996,0.5862300000000005,0.4356200000000001,4.661370000000002,2.4459400000000002,-0.6885826886477774,GALAXY
-0.9236299999999993,6.207609999999999,-6.120329999999999,1.223939999999999,0.38758999999999943,1.3112199999999987,-1.1974812496255527,GALAXY
1.2798999999999978,0.5387100000000018,0.23005999999999815,0.11069000000000173,2.1593599999999995,0.8794600000000017,-2.9537733774365758,STAR
1.98151,1.0539299999999976,0.5377200000000002,0.5025900000000014,4.075749999999999,2.094239999999999,-1.2089050023070205,GALAXY
-1.6314899999999994,1.1379899999999985,4.293680000000002,-3.1677600000000012,0.6324199999999998,2.263909999999999,-0.47047019537061185,GALAXY
2.400459999999999,1.735949999999999,0.6356600000000014,0.4010499999999979,5.173119999999997,2.7726599999999983,-0.5044734231022329,GALAXY
1.19557,0.6234600000000015,0.4664900000000003,0.2178299999999993,2.503350000000001,1.307780000000001,-0.900151266295535,GALAXY
1.8080700000000007,0.9643799999999985,0.42460000000000164,0.3249999999999993,3.52205,1.7139799999999994,-0.9055809339138995,GALAXY
1.6916999999999973,0.8723700000000001,0.45996000000000237,0.35801000000000016,3.38204,1.6903400000000026,-1.2028008988436387,GALAXY
0.4068100000000001,0.9401200000000003,0.4480800000000009,0.5334800000000008,2.328490000000002,1.921680000000002,-0.5257081053161828,QSO
5.15559,2.2056299999999993,0.7321900000000028,0.5401999999999987,8.633610000000001,3.4780200000000008,-0.47433012930022256,GALAXY
2.029350000000001,1.089459999999999,0.49621000000000137,0.4216099999999976,4.036629999999999,2.007279999999998,-1.1549606557491148,GALAXY
1.9570400000000028,1.2710299999999997,0.5866100000000003,0.46393999999999735,4.27862,2.3215799999999973,-0.9084491042100474,GALAXY
2.6885900000000014,1.5146799999999985,0.6164000000000023,0.2820900000000002,5.101760000000002,2.413170000000001,-0.6593358190646558,GALAXY
1.8958399999999997,0.9383900000000018,0.5176099999999977,0.3763299999999994,3.7281699999999987,1.832329999999999,-1.0666517288794364,GALAXY
1.6190300000000022,0.6445399999999992,0.36018999999999934,0.14425000000000132,2.768010000000002,1.14898,-2.208562634643854,GALAXY
1.4219299999999997,0.9720099999999974,0.563130000000001,0.370239999999999,3.327309999999997,1.9053799999999974,-0.7913520265944406,GALAXY
3.44473,1.685179999999999,0.6311099999999996,0.45359000000000194,6.21461,2.7698800000000006,-0.581893356004021,GALAXY
1.4865500000000011,0.21659999999999968,0.05397999999999925,0.05175000000000196,1.808880000000002,0.3223300000000009,-3.5045083915020645,STAR
1.9998700000000014,1.0584600000000002,0.4708599999999983,0.37246000000000024,3.90165,1.9017799999999987,-1.0630546908165301,GALAXY
1.3660700000000006,0.6448900000000002,0.3856199999999994,0.1772500000000008,2.573830000000001,1.2077600000000004,-1.0632080764645264,GALAXY
1.46734,1.0017800000000001,0.49849999999999994,0.3514799999999987,3.319099999999999,1.8517599999999987,-0.7920130629461849,GALAXY
0.2681299999999993,0.25023000000000195,0.22693999999999903,0.25552000000000064,1.000820000000001,0.7326900000000016,0.3007680371029474,QSO
1.7249800000000022,0.9557899999999968,0.4539200000000001,0.32416000000000267,3.4588500000000018,1.7338699999999996,-1.0676651708957898,GALAXY
3.6836400000000005,1.7707300000000004,0.531959999999998,0.3972200000000008,6.38355,2.699909999999999,-0.5815323162618687,GALAXY
2.1849500000000006,1.0474899999999998,0.4931399999999986,0.3953800000000012,4.12096,1.9360099999999996,-1.2008013432542444,GALAXY
1.6605699999999999,0.9433800000000012,0.5116000000000014,0.29962999999999695,3.4151799999999994,1.7546099999999996,-0.8921383991542903,GALAXY
1.9813600000000022,1.119959999999999,0.4882799999999996,0.3840299999999992,3.97363,1.9922699999999978,-1.0383338716072772,GALAXY
1.1514999999999986,0.5083400000000005,0.2021000000000015,0.09097999999999828,1.9529199999999989,0.8014200000000002,-3.052029721723076,STAR
1.5959800000000008,1.308169999999997,0.5609400000000022,0.4404599999999981,3.905549999999998,2.3095699999999972,-0.8459246371080806,GALAXY
1.0005600000000001,0.662510000000001,0.12613999999999947,0.19745999999999952,1.9866700000000002,0.98611,-2.227530716918266,GALAXY
2.6384100000000004,1.52252,0.6515500000000003,0.39077999999999946,5.20326,2.56485,-0.6836645391302509,GALAXY
0.5556200000000011,0.419159999999998,1.0421000000000014,0.8881599999999992,2.9050399999999996,2.3494199999999985,-3.483728720413258,STAR
1.38232,1.0747999999999998,0.5139599999999973,0.2526299999999999,3.223709999999997,1.841389999999997,-0.7447067457671172,GALAXY
1.1354000000000006,0.5756399999999999,0.3166800000000016,0.1760799999999989,2.203800000000001,1.0684000000000005,-1.5988882231564663,GALAXY
2.0458,1.4366200000000013,0.612680000000001,0.41241999999999734,4.5075199999999995,2.4617199999999997,-0.675843940729488,GALAXY
2.30161,1.8138299999999994,0.6986899999999991,0.4969000000000001,5.311029999999999,3.0094199999999987,-0.505638191166047,GALAXY
1.9262599999999992,0.9594800000000028,0.43200999999999823,0.3478600000000007,3.665610000000001,1.7393500000000017,-1.2038542062864168,GALAXY
2.267620000000001,1.1632500000000014,0.5487499999999983,0.41440000000000055,4.394020000000001,2.1264000000000003,-1.039386637456554,GALAXY
0.9049200000000006,0.38766000000000034,0.2185800000000011,0.1771799999999999,1.688340000000002,0.7834200000000013,-1.5152370652690086,GALAXY
1.4820600000000006,2.204840000000001,0.957259999999998,0.43962000000000145,5.083780000000001,3.6017200000000003,-0.3461042514069755,GALAXY
1.7101000000000006,1.0183300000000006,0.4955499999999997,0.4438899999999997,3.6678700000000006,1.95777,-1.6973271395156349,GALAXY
1.5146599999999992,0.6798099999999998,0.3737300000000019,0.2272199999999991,2.79542,1.2807600000000008,-1.069264910279063,GALAXY
1.3636799999999987,0.6992800000000017,0.3538099999999993,0.3098799999999997,2.7266499999999994,1.3629700000000007,-1.5799803505216647,GALAXY
1.4729700000000001,0.6425300000000007,0.2829599999999992,0.1304400000000001,2.5289,1.05593,-3.2944846323860704,STAR
0.9182899999999989,1.5210399999999993,0.9418500000000023,0.18976999999999933,3.57095,2.652660000000001,-0.4477883371139188,QSO
2.156410000000001,1.1034100000000002,0.5153600000000012,0.39503999999999984,4.170220000000002,2.013810000000001,-1.2035620816544672,GALAXY
1.4752399999999994,1.7454499999999982,0.706780000000002,0.5249400000000009,4.45241,2.977170000000001,-0.3787165085150629,GALAXY
1.849920000000001,1.1658100000000005,0.568010000000001,0.4148999999999994,3.9986400000000017,2.148720000000001,-0.8454220576800722,GALAXY
2.0444299999999984,1.5997200000000014,0.5849000000000011,0.4321799999999989,4.66123,2.6168000000000013,-0.6612183057551368,GALAXY
1.9714699999999965,1.023340000000001,0.43688000000000216,0.38771999999999807,3.8194099999999978,1.8479400000000012,-1.0393624340425625,GALAXY
0.15064999999999884,0.06295000000000073,0.03947000000000145,0.5285699999999984,0.7816399999999994,0.6309900000000006,-0.4491507440529598,QSO
1.8069299999999977,0.8725500000000004,0.48949,0.3832000000000022,3.5521700000000003,1.7452400000000026,-1.2025014510186944,GALAXY
2.0559200000000004,1.0118299999999998,0.4459400000000002,0.3576599999999992,3.8713499999999996,1.8154299999999992,-1.0378868173115832,GALAXY
1.778649999999999,1.4907399999999988,0.5899500000000018,0.3623200000000004,4.22166,2.443010000000001,-0.5693110422219733,GALAXY
1.1233900000000006,0.4000799999999991,0.12549000000000277,0.07743999999999929,1.7264000000000017,0.6030100000000012,-3.3509830910964533,STAR
1.863579999999999,0.9008900000000004,0.43281999999999954,0.3149999999999995,3.5122899999999984,1.6487099999999995,-1.1773607313599201,GALAXY
1.2990999999999993,0.6742099999999986,0.37498000000000076,0.23082000000000136,2.57911,1.2800100000000008,-0.9007811716879466,GALAXY
1.1760400000000004,0.487919999999999,0.33281000000000205,0.17144000000000048,2.168210000000002,0.9921700000000016,-1.0336031179230614,GALAXY
2.015909999999998,0.9529099999999993,0.43558000000000163,0.32784000000000013,3.732239999999999,1.716330000000001,-1.174875656179916,GALAXY
1.8654499999999992,0.9763400000000004,0.4574999999999996,0.3487999999999989,3.648089999999998,1.782639999999999,-1.0916623445441975,GALAXY
1.7811699999999995,0.7641500000000008,0.4100799999999989,0.2808900000000012,3.2362900000000003,1.4551200000000009,-1.437301943444228,GALAXY
1.0485100000000003,1.9496800000000007,0.7003699999999995,0.3988900000000015,4.097450000000002,3.0489400000000018,-0.4316908893590567,GALAXY
1.5062999999999995,0.7704900000000023,0.43053000000000097,0.3102099999999979,3.0175300000000007,1.5112300000000012,-1.0211904629807091,GALAXY
0.5104800000000012,0.15833999999999904,0.3928599999999989,0.10930000000000106,1.1709800000000001,0.660499999999999,0.2767638669565486,QSO
2.0378000000000007,1.0584699999999998,0.45470000000000255,0.40864999999999796,3.959620000000001,1.9218200000000003,-1.032388288255112,GALAXY
2.2415299999999974,1.68037,0.6198300000000003,0.42326000000000263,4.96499,2.723460000000003,-0.4983874676382738,GALAXY
1.7986900000000006,1.0622299999999996,0.3768799999999999,0.28304999999999936,3.5208499999999994,1.7221599999999988,-0.6670889213484684,GALAXY
1.6504899999999978,0.9605700000000006,0.4714500000000008,0.34117000000000175,3.423680000000001,1.7731900000000032,-0.8999715102854521,GALAXY
2.937429999999999,1.7055299999999995,0.6511100000000027,0.37172999999999945,5.665800000000001,2.7283700000000017,-0.4833205462058529,GALAXY
3.092500000000001,1.4157599999999988,0.58324,0.29488999999999876,5.386389999999999,2.2938899999999975,-0.3347108253241524,GALAXY
1.9743999999999993,0.9105100000000022,0.444189999999999,0.33019000000000176,3.659290000000002,1.6848900000000029,-1.4353465979242033,GALAXY
0.3288000000000011,0.25398999999999816,-4.665669999999999,5.271619999999999,1.1887399999999992,0.8599399999999982,0.5067023818421262,QSO
1.6045100000000012,1.7825999999999986,0.7015400000000014,0.4253,4.513950000000001,2.90944,-0.4443203137232975,GALAXY
0.17709999999999937,0.0931999999999995,0.2568899999999985,0.032970000000002386,0.5601599999999998,0.3830600000000004,0.24932679169570782,QSO
1.9565799999999989,1.8558100000000017,0.6954299999999982,0.4501999999999988,4.958019999999998,3.0014399999999988,-0.4438333581435954,GALAXY
5.003719999999998,1.8246600000000015,0.6142499999999984,0.3501000000000012,7.792729999999999,2.789010000000001,-0.4601035335994252,GALAXY
1.5627200000000023,0.8626599999999982,0.5120900000000006,0.37798000000000087,3.315450000000002,1.7527299999999997,-1.0356847308604398,GALAXY
1.2503899999999994,0.5636899999999976,0.3526900000000026,0.2056699999999978,2.3724399999999974,1.122049999999998,-1.196174846025291,GALAXY
-1.9107800000000026,5.250690000000002,-3.4683100000000024,0.1638699999999993,0.03546999999999656,1.9462499999999991,-0.616928057083025,QSO
1.583359999999999,0.8317200000000007,0.41444999999999865,0.3061700000000016,3.1357,1.552340000000001,-1.0355204018432562,GALAXY
2.378029999999999,1.1329700000000003,0.4787600000000012,0.4091699999999996,4.39893,2.020900000000001,-0.8934246315755273,GALAXY
1.1462499999999984,0.8824900000000007,0.5140600000000006,0.31292999999999793,2.8557299999999977,1.7094799999999992,-0.6367886581994677,GALAXY
2.29016,1.2683999999999997,0.5071500000000029,0.3887299999999989,4.454440000000002,2.1642800000000015,-0.7761846209520203,GALAXY
0.3350299999999997,0.30433999999999983,0.1978599999999986,0.06079000000000079,0.8980199999999989,0.5629899999999992,0.13649067895114672,QSO
1.9527999999999999,1.058329999999998,0.4767700000000019,0.36726999999999776,3.8551699999999975,1.9023699999999977,-0.8946189305847032,GALAXY
2.051770000000001,1.6172599999999981,0.570800000000002,0.326039999999999,4.56587,2.514099999999999,-0.6220724456325327,GALAXY
3.052570000000003,1.488319999999998,0.6254500000000007,0.34724999999999895,5.513590000000001,2.4610199999999978,-3.925652470256994,STAR
1.3765099999999997,0.6885399999999997,0.37524999999999764,0.2617500000000028,2.70205,1.3255400000000002,-1.1741329953346074,GALAXY
1.1437600000000003,0.48052000000000206,0.2944999999999993,0.1482600000000005,2.067040000000002,0.9232800000000019,-1.069934151013314,GALAXY
1.2242400000000018,0.47897999999999996,0.15339999999999776,0.049620000000000886,1.9062400000000004,0.6819999999999986,-4.002842925944253,STAR
0.3581600000000016,0.1744199999999978,0.25274000000000285,-0.047030000000003014,0.7382899999999992,0.38012999999999764,0.20678703056457678,QSO
1.6643699999999981,0.8824400000000026,0.5003199999999985,0.365829999999999,3.412959999999998,1.74859,-1.1748740321307825,GALAXY
