u,g,r,i,z,redshift,u_g,g_r,r_i,i_z,color_std,sed_slope_full,quasar_score,likely_galaxy_type,likely_stellar_type,brightness_pop,class
-0.7760215682572558,0.958019046918354,1.1936937828527476,1.5333859867125879,1.662229077817756,1.898419311468702,-2.805856808176925,-1.2926144973550557,-1.8537147699452898,-1.7310529462699678,-1.6449171016216426,2.159239129634762,0.0,blue_cloud,AF_type,bright,QSO
-0.10224361814808795,-0.058656100567371014,-0.26179391722784623,-0.3078575814993799,-0.35498190652406303,0.5966251005356534,-0.32827482785179196,0.2569558729150039,0.33687546344454844,0.2851349368147071,-0.506682920725652,0.10895537178910346,0.0,red_sequence,G_type,bright,GALAXY
0.18943603891202201,1.2257132644957958,1.70057084251863,2.0424069806755822,2.125465063411571,1.945958541532617,-2.0156638953542183,-0.9571930428520657,-1.9670492484813498,-1.7312241101257873,-1.5945328311781444,1.7056305684681803,0.0,blue_cloud,AF_type,bright,QSO
0.054306113122565926,-0.199283848098145,-0.36461480715902306,-0.3586432312305835,-0.31512793799519034,-0.3127928366449636,0.010918264545265021,0.15234902055388969,-0.23605830954451867,-0.36550883608004264,0.039941200367784584,0.051585875069169,0.0,red_sequence,G_type,bright,GALAXY
-0.27829834110738183,-0.9138456109433105,-1.0728078862388286,-1.1032260616953318,-1.1122954998553078,-0.346580114026874,0.8665889813888756,0.2317380136064676,0.2058412183238126,0.13974971951256676,0.8766375967913295,-0.42482160715770506,0.0,red_sequence,G_type,bright,GALAXY
-1.1661996131591177,-1.5299605730504517,-1.6864982739505354,-1.700004186865932,-1.7209228952592819,-0.3055079649963918,0.5064417937907338,0.24944328358020965,-0.35656608126239603,0.22715136719302154,0.5538014381988965,-0.22845184965188725,0.0,red_sequence,G_type,bright,GALAXY
-0.2827653596401932,-0.2496906150724347,-0.18713730216176838,-0.2939999763813583,-0.28057418481590185,0.10998711834107892,-0.37570775075311375,-0.3488308661244615,0.8158316744845857,-0.24910068690061254,-0.6070844141276548,0.2863405975995749,0.0,red_sequence,G_type,bright,GALAXY
-0.8774846490011176,-0.45862830791589043,0.0796922225469347,0.24676782541337472,0.506080985780626,-0.32084942099856295,-1.1794486998835558,-1.1942212456545835,-0.8585888901925378,-1.138061574962082,-1.224108712922499,1.0853928131416386,0.0,blue_cloud,AF_type,bright,GALAXY
0.7203344543469957,0.2602530165852858,-0.05035008034665986,-0.13099782816362393,-0.24486187349623442,0.4713518044166629,1.0552272169645935,0.6335018799368849,0.5410022425425147,0.9927040769940788,0.9641443585397254,-0.7953525038351456,0.0,red_sequence,KM_type,bright,GALAXY
-0.824042890161399,-0.5187301839719625,-0.2835382662704298,-0.3040747471760024,-0.12628911247866306,-0.3177396131772807,-0.9323776199822381,-0.6958929513895024,0.034854188366752456,-0.8836029900140744,-1.1473078042727118,0.706022161489998,0.0,green_valley,AF_type,bright,GALAXY
0.14432796260837766,-0.471842677646048,-0.698414227547336,-0.7287133749454776,-0.7784654613878318,-0.32765852557004527,0.8601659280411584,0.4583251254358827,0.13822747268768906,0.45643247398681347,0.8398237899882264,-0.5502379573989292,0.0,red_sequence,G_type,bright,GALAXY
0.6750720629851599,0.3538737090289956,0.21652862931844313,0.21768664256700154,0.18568415996168236,-0.32460091022741105,0.704343804106148,0.21560756199267025,-0.16763953501309753,-0.030569913050503265,0.7884060047902063,-0.2860268686814995,0.0,red_sequence,G_type,bright,GALAXY
-1.7460541107703076,-1.6005328984722644,-1.5201392030664826,-1.4430794747776234,-1.4183772888027932,-1.40030011222286,-0.6284397173217299,-0.6567310807013585,-0.9802534332780598,-0.28479435058036123,-0.7803206176974326,0.6745961714019333,0.0,green_valley,G_type,bright,GALAXY
0.5152018251537842,0.04017661993303278,-0.142751448016464,-0.1600980539131127,-0.24415692660543753,-0.3004561769209197,0.843265037853882,0.20957261763612128,-0.05146002009667058,0.6500618617207651,0.8233281423023489,-0.41426824025261433,0.0,red_sequence,G_type,bright,GALAXY
2.766317814537988,1.2350974297280415,0.9209174274176578,0.880635078579595,0.9265403254175081,1.306095261642113,3.1027274641725953,1.3158113075887283,1.116521755468328,-0.9201865590278319,2.8501095878855227,-2.7083654307251637,0.0,red_sequence,KM_type,bright,GALAXY
-1.1223035604515594,-0.9880504971804109,-0.8253683171573144,-0.7992740999412516,-0.7453873371534442,-0.805440395824058,-0.5916946862682073,-0.6391701141122952,-0.5456565436319217,-0.48112917706919595,-0.7828995327339299,0.6026074551573117,0.0,green_valley,G_type,bright,GALAXY
-0.2939983450545742,-0.84387102048753,-1.1875282478817875,-1.2753099589472194,-1.3031671967252796,0.48706712067384444,0.5653845585700255,0.919614927727622,0.8057159873698599,0.42187736139050613,0.5119237766109473,-0.8173638391431376,0.0,red_sequence,KM_type,bright,GALAXY
0.5167267016150725,0.39744699296969127,0.341462470992228,0.3012192345439536,0.3062408289653189,-0.3283160365905292,0.11067011523759787,0.06833805900350744,0.14672163905601343,-0.31492761997617635,0.12577484546433376,-0.013243743216745815,0.0,red_sequence,G_type,bright,GALAXY
0.6811028257290183,0.24424637796663928,0.021250576479520226,-0.004249812881048698,-0.059076467154046304,-0.3010787602761596,0.9752120035879518,0.36813741730317673,0.08770001884053834,0.3007569033317554,0.9855853073395165,-0.5366311634560035,0.0,red_sequence,G_type,bright,GALAXY
0.49159905459527514,0.511514632211888,0.3446290228484866,0.2055624557696498,0.13488380421260582,0.696701945955089,-0.05375680417715084,0.40488597594420833,0.817665678258351,0.22872499702244406,-0.14826458211035087,-0.1617868763107607,0.0,red_sequence,G_type,bright,GALAXY
0.3621495500242797,-0.18497434898852694,-0.3620119095356521,-0.3897474567294032,-0.4254356609874056,-0.3692370900350771,0.8338231295807275,0.1884084897379284,0.14971081495292687,0.2402674708525126,0.8384950432778427,-0.39511112187292957,0.0,red_sequence,G_type,bright,GALAXY
-0.2460694471179491,-0.5065478859308261,-0.575820184950952,-0.5695093134917742,-0.5499179903665048,-0.33398129964988543,-0.03164155353411119,-0.10820298636565916,-0.2542048260119381,-0.2591167668423965,-0.03527603707378245,0.13621040660776212,0.0,red_sequence,G_type,bright,GALAXY
-0.9331701412946778,-0.9743799830211222,-0.8144526275949427,-0.6918516031053188,-0.6170442510554486,-0.6828017202915587,-0.2774529094078478,-0.6396725206762603,-0.9929473981982326,-0.5760923013398983,-0.20771142598575304,0.5711056949366053,0.0,green_valley,G_type,bright,GALAXY
-0.35586003683609346,-0.8151823995670266,-1.0723072105431033,-1.150413105402704,-1.1705781933006487,-0.352369816743814,0.33841643322287407,0.6319069004024078,0.8813195528155804,0.0739570198958048,0.26169735561106683,-0.516216365157138,0.0,red_sequence,KM_type,bright,GALAXY
